CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
32037030,LA MACARENA [32037030],2.1856388890,-73.792250,218,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,La Macarena,15/02/1983 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1992-04-16 00:00,307,4,EST. OTROS METODOS,1200
32037030,LA MACARENA [32037030],2.1856388890,-73.792250,218,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,La Macarena,15/02/1983 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1992-04-17 00:00,298,4,EST. OTROS METODOS,1200
32037030,LA MACARENA [32037030],2.1856388890,-73.792250,218,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,La Macarena,15/02/1983 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1992-04-18 00:00,286,4,EST. OTROS METODOS,1200
32037030,LA MACARENA [32037030],2.1856388890,-73.792250,218,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,La Macarena,15/02/1983 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1992-04-19 00:00,302,4,EST. OTROS METODOS,1200
32037030,LA MACARENA [32037030],2.1856388890,-73.792250,218,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,La Macarena,15/02/1983 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1992-04-20 00:00,350,4,EST. OTROS METODOS,1200
32037030,LA MACARENA [32037030],2.1856388890,-73.792250,218,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,La Macarena,15/02/1983 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1992-04-21 00:00,342,4,EST. OTROS METODOS,1200
32037030,LA MACARENA [32037030],2.1856388890,-73.792250,218,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,La Macarena,15/02/1983 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1992-04-22 00:00,393,4,EST. OTROS METODOS,1200
32037030,LA MACARENA [32037030],2.1856388890,-73.792250,218,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,La Macarena,15/02/1983 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1992-04-23 00:00,414,4,EST. OTROS METODOS,1200
32037030,LA MACARENA [32037030],2.1856388890,-73.792250,218,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,La Macarena,15/02/1983 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1992-04-24 00:00,313,4,EST. OTROS METODOS,1200
32037030,LA MACARENA [32037030],2.1856388890,-73.792250,218,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,La Macarena,15/02/1983 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1992-04-25 00:00,318,4,EST. OTROS METODOS,1200
32037030,LA MACARENA [32037030],2.1856388890,-73.792250,218,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,La Macarena,15/02/1983 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1992-04-26 00:00,344,4,EST. OTROS METODOS,1200
32037030,LA MACARENA [32037030],2.1856388890,-73.792250,218,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,La Macarena,15/02/1983 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1992-04-27 00:00,500,4,EST. OTROS METODOS,1200
32037030,LA MACARENA [32037030],2.1856388890,-73.792250,218,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,La Macarena,15/02/1983 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1992-04-28 00:00,497,4,EST. OTROS METODOS,1200
32037030,LA MACARENA [32037030],2.1856388890,-73.792250,218,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,La Macarena,15/02/1983 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1992-04-29 00:00,480,4,EST. OTROS METODOS,1200
32037030,LA MACARENA [32037030],2.1856388890,-73.792250,218,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,La Macarena,15/02/1983 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1992-04-30 00:00,459,4,EST. OTROS METODOS,1200
32037030,LA MACARENA [32037030],2.1856388890,-73.792250,218,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Meta,La Macarena,15/02/1983 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1992-05-01 00:00,462,4,EST. OTROS METODOS,1200
